,MolecularWeight,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge
0,216.27699999999993,88.0,0.0,0.3466487531410485,-0.4629629025021227,0.4629629025021227,0.3466487531410485
1,102.13299999999998,42.0,0.0,0.30310054985898266,-0.4812230637329638,0.4812230637329638,0.30310054985898266
2,158.241,66.0,0.0,0.3028395565321837,-0.481230389785217,0.481230389785217,0.3028395565321837
3,116.15999999999998,48.0,0.0,0.3031110388175125,-0.4812229374116284,0.4812229374116284,0.3031110388175125
4,116.15999999999998,48.0,0.0,0.30284988820108344,-0.4812302641198295,0.4812302641198295,0.30284988820108344
5,88.10599999999998,36.0,0.0,0.30282893657949883,-0.48123051640943176,0.48123051640943176,0.30282893657949883
6,102.13299999999998,42.0,0.0,0.30569455284812064,-0.4810341567461046,0.4810341567461046,0.30569455284812064
7,100.11699999999999,40.0,0.0,0.30598714903577456,-0.48102646184677705,0.48102646184677705,0.30598714903577456
8,106.12399999999997,40.0,0.0,0.14954802883036308,-0.2978964116504968,0.2978964116504968,0.14954802883036308
9,90.12199999999999,38.0,0.0,0.07678369378081898,-0.39073832390870694,0.39073832390870694,0.07678369378081898
10,146.14499999999995,54.0,0.0,0.33569031616433825,-0.4227294736611369,0.4227294736611369,0.33569031616433825
11,144.214,60.0,0.0,0.30283955653217365,-0.481230389785217,0.481230389785217,0.30283955653217365
12,128.215,54.0,0.0,0.1194901986703158,-0.3034029081494581,0.3034029081494581,0.1194901986703158
13,182.222,68.0,0.0,0.1925196653354077,-0.2886159649049109,0.2886159649049109,0.1925196653354077
14,178.23099999999997,70.0,0.0,0.16049803348676348,-0.49286997546186295,0.49286997546186295,0.16049803348676348
15,134.22199999999998,54.0,0.0,-0.021882053067443556,-0.0590419921968874,0.0590419921968874,0.021882053067443556
16,184.27899999999997,76.0,0.0,0.3056979856420554,-0.46234512592245425,0.46234512592245425,0.3056979856420554
17,172.26799999999997,72.0,0.0,0.30526742565897524,-0.4659692078794497,0.4659692078794497,0.30526742565897524
18,85.15,36.0,0.0,-0.004891140011689818,-0.3167325809905548,0.3167325809905548,0.004891140011689818
19,130.187,54.0,0.0,0.30283955652668276,-0.481230389785224,0.481230389785224,0.30283955652668276
20,101.19300000000001,44.0,0.0,-0.007727548087909907,-0.33047350396881303,0.33047350396881303,0.007727548087909907
21,102.17699999999999,44.0,0.0,0.04305240583871402,-0.396376569347818,0.396376569347818,0.04305240583871402
22,146.299,56.0,0.0,-0.009791409473982934,-0.17936390057447493,0.17936390057447493,0.009791409473982934
23,158.241,66.0,0.0,0.3028395565321837,-0.481230389785217,0.481230389785217,0.3028395565321837
24,150.177,58.0,0.0,0.30246072005009045,-0.46100343395037224,0.46100343395037224,0.30246072005009045
25,144.214,60.0,0.0,0.30212286792609416,-0.4658776866736629,0.4658776866736629,0.30212286792609416
26,144.21399999999997,60.0,0.0,0.30499640966445174,-0.465682528839917,0.465682528839917,0.30499640966445174
27,176.215,68.0,0.0,0.3100689171711918,-0.46120986388092905,0.46120986388092905,0.3100689171711918
28,144.214,60.0,0.0,0.30212286792609416,-0.4658776866736629,0.4658776866736629,0.30212286792609416
29,142.242,60.0,0.0,0.11949019867032569,-0.3034029081494581,0.3034029081494581,0.11949019867032569
30,126.19899999999998,52.0,0.0,0.15459885800421178,-0.2948886433585109,0.2948886433585109,0.15459885800421178
31,150.22099999999998,60.0,0.0,0.15836923542949272,-0.2945568590881993,0.2945568590881993,0.15836923542949272
32,154.253,64.0,0.0,0.06144351054774095,-0.39229736991721587,0.39229736991721587,0.06144351054774095
33,98.14499999999998,40.0,0.0,0.14201803733976104,-0.29857631082421043,0.29857631082421043,0.14201803733976104
34,124.13899999999997,48.0,0.0,0.159973721120165,-0.5042548357902157,0.5042548357902157,0.159973721120165
35,116.204,50.0,0.0,0.04305240722358137,-0.39637656934229265,0.39637656934229265,0.04305240722358137
36,114.18799999999999,48.0,0.0,0.11949019866492745,-0.30340290814946846,0.30340290814946846,0.11949019866492745
37,152.14899999999997,58.0,0.0,0.3411321188257538,-0.5070528008609642,0.5070528008609642,0.3411321188257538
38,156.26899999999998,66.0,0.0,0.05729302557713654,-0.39282090888948124,0.39282090888948124,0.05729302557713654
39,182.135,68.0,0.0,0.278670384106092,-0.25830597628015206,0.278670384106092,0.25830597628015206
40,94.20400000000001,26.0,0.0,-0.007925326249272396,-0.0978818338880869,0.0978818338880869,0.007925326249272396
41,160.263,50.0,0.0,0.11400672032154474,-0.46845116398275466,0.46845116398275466,0.11400672032154474
42,88.14999999999999,38.0,0.0,0.04305223345357219,-0.3963765707960063,0.3963765707960063,0.04305223345357219
43,58.08,24.0,0.0,0.11921494428801727,-0.30341423261619294,0.30341423261619294,0.11921494428801727
44,80.09,30.0,0.0,0.04510753126065995,-0.2615195591346822,0.2615195591346822,0.04510753126065995
45,130.18699999999998,54.0,0.0,0.302123037200498,-0.46586693130001083,0.46586693130001083,0.302123037200498
46,74.079,30.0,0.0,0.30255843749205596,-0.4812379170193394,0.4812379170193394,0.30255843749205596
47,302.41400000000004,120.0,0.0,0.15520066254057166,-0.3954501012511479,0.3954501012511479,0.15520066254057166
48,192.302,78.0,0.0,0.15212328706486747,-0.2951807665268281,0.2951807665268281,0.15212328706486747
49,192.30199999999996,78.0,0.0,0.15181791059666552,-0.2951928617942672,0.2951928617942672,0.15181791059666552
50,59.044000000000004,24.0,0.0,0.03827859892113979,-0.5504770280073037,0.5504770280073037,0.03827859892113979
51,,,,,,,
