SMILES,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,PrincipalMomentsOfInertia1,PrincipalMomentsOfInertia2,PrincipalMomentsOfInertia3,NormalizedPrincipalMomentsRatio1,NormalizedPrincipalMomentsRatio2
CCCCOC(=O)C(C)OC(=O)CCC,3.57341803196281,0.002803407342502709,0.9912482599016419,0.6594715394872709,0.15356180437564862,346.6061818726982,2551.2258368424127,2625.586880847559,0.1320109360695812,0.9716783152187515
CC(C)CC(=O)O,1.961338143049477,0.008760833532553752,0.94773264140182,0.337774509422637,0.42112233375512526,109.88047205157679,331.5175418310631,344.3820990238645,0.31906557385830453,0.9626445241222892
CCCCCCCCC(=O)O,2.857894750026302,0.0039022262126853584,0.9799072580496976,0.5212480755531333,0.31389831034829085,240.95180595213571,1135.8756410545095,1208.059037175248,0.19945366785678195,0.9402484531803
CCC(C)CC(=O)O,2.189483502799284,0.006066239164071684,0.9679334998336216,0.4273594705998189,0.2593265274555994,135.10373890940647,440.78141430628443,537.81929304221,0.2512065681860971,0.819571592184757
CC(C)CCC(=O)O,2.267449113595093,0.007096290767662254,0.9758580769946368,0.48286877187670324,0.35600140399247293,124.22683863665374,501.416320086555,568.7895774276851,0.21840561706222142,0.8815497681131546
CCCC(=O)O,1.753776353338514,0.00906921639265978,0.9368724814481101,0.2881415016262875,0.3613403475521402,88.17371154482699,201.6453145547583,252.16177254305418,0.34967120771556354,0.7996664701439997
CCC(C)C(=O)O,1.8430439815299844,0.0047858420798881545,0.8938476149436787,0.19951495976933567,0.30574862386013224,145.16474092829372,224.92786282604902,323.76041604520117,0.44837087467798054,0.6947355256506903
C1CC(C1)C(=O)O,1.755156070722323,0.009231869380419793,0.9323986220337519,0.27755784631988567,0.6525841037204057,98.27120862624362,246.6698740844408,271.89433785082696,0.3614316112759931,0.907226961893464
C1=CC=C(C=C1)C=O,1.974059484785634,0.008213619756866054,0.9737924082278784,0.47286904635975185,1.3418891450258226e-10,94.05857094132485,319.4971960763825,413.5557669610509,0.2274386635507452,0.7725613365862531
CC(C(C)O)O,1.6382147160937013,0.00747730325125091,0.8395450328440243,0.11353535991234354,0.7163336553272738,110.80396207368733,168.97551520700722,203.9498991832492,0.543290104665018,0.8285148258650648
C1=CC=C2C(=C1)C=CC(=O)O2,2.224642899969925,0.004461173726978124,0.9716087933791087,0.45814939231587476,3.5390094709777943e-12,171.12240519297006,552.1544657603807,723.276870952928,0.23659322185640164,0.7634067781441829
CCCCCCCC(=O)O,2.9963298422723774,0.007065056976411845,0.994300995009926,0.714872214136406,0.1745277530587246,134.3062120992941,1195.3993031404705,1259.7989123836753,0.10660924595114332,0.9488810407675667
CCCCCCCC=O,2.728011093888937,0.003930758124392551,0.9716300900392838,0.4510369032882858,0.2952157673773441,216.29302161932577,777.5344473521451,914.5360094412977,0.2365057465057741,0.8501955519795785
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,2.8401493225107797,0.002979259964462114,0.9799877346639041,0.5181199699566699,0.11325080641053989,285.5044361022278,1219.9857152607922,1434.2784870199805,0.19905788079930292,0.8505919361556993
COC1=C(C=C(C=C1)CC=C)OC,2.7065528040973477,0.0016781256630871923,0.9321949679087099,0.2779810584131892,0.23171330523867978,447.36853463191693,927.8951671327484,1235.973042975658,0.3619565468473795,0.7507406188235312
CC1=CC=C(C=C1)C(C)C,2.3948224496243506,0.0063187403305922105,0.9783247563249468,0.5072489051314342,0.2830672830364222,148.5700700921138,673.5384260629453,717.4647048321414,0.20707648625986888,0.9387756938099511
CCCCCCCC1CCC(=O)O1,3.4733401654242617,0.004112837561219978,0.993654748511724,0.7039754275193226,0.2229343828297175,238.76651204182613,2084.678041973228,2122.8730302155914,0.1124732890961349,0.9820078790871047
CCCCCCCC(=O)OCC,3.387567365524209,0.0045769013612803255,0.9943532753782387,0.715563891302947,0.14274241934645898,205.15963142836395,1815.3318336504121,1933.2702169566555,0.10612051519177967,0.9389953963642489
C1CCNCC1,1.5493381759068086,0.005356921918126474,0.8183049942926289,0.15225895324593972,0.5030521195077378,108.88062387510821,110.48712089893377,189.4286830257348,0.5747842519726342,0.5832650004958518
CCCCCCC(=O)O,2.5294062438038463,0.006273210523862939,0.9790333812066356,0.5183107136964943,0.38616159176977755,155.64876446178894,746.0886927890843,764.1083018434138,0.2036998735470951,0.9764174672479581
CCCCCCN,2.223462924686642,0.010670565137254069,0.9821355914594108,0.5425123152147817,0.3587034980656008,88.35391394087841,442.66787519917415,469.53156303377176,0.18817459974362452,0.9427861938374835
CCCCCCO,2.344875479790356,0.015261279634171844,0.993526499110658,0.6984962065752423,0.2570606566323336,61.97912702936421,516.0612470069096,545.5880412905893,0.11360059667501599,0.9458807890769856
CCCCCCCCS,2.7398801371182824,0.005825414999642682,0.9880108015251445,0.6092642623940214,0.3440304259998806,161.74218871516823,987.1179662506114,1047.6564014537446,0.15438476631339454,0.9422153722163783
CCCCCCCCC(=O)O,3.1417918467452144,0.003741974177081302,0.9861772195582094,0.5849392357263349,0.2218650747733723,247.4638230653354,1382.9851572881214,1493.499270857342,0.16569396978900364,0.9260032356723013
CC(=O)OCC1=CC=CC=C1,2.381174830895925,0.0042926537705360686,0.9669702118156754,0.42118700954966865,0.1454334892742545,203.81283544040463,699.5796009391339,799.6128139337864,0.2548894063337031,0.8748979365369001
CCCCCCOC(=O)C,3.156782970440893,0.00796121082464092,0.9964488938106429,0.7688192760498801,0.13548467448440743,119.0852516516961,1340.862219097024,1414.3179406145966,0.08419977448631331,0.9480627945045708
CCCCCOC(=O)CC,2.4038880904286266,0.0026485551492569466,0.9236291641289165,0.2503622488386698,0.26650545729539554,295.0940764698638,601.7353916978686,769.9030559711499,0.38328731673578614,0.7815729357494811
C=CCOC(=O)CC1=CC=CC=C1,2.9910716701175404,0.004075329712086283,0.9879117189614345,0.6084112820553917,0.19590766105101665,232.47853077914516,1420.8480458799963,1499.6918495217103,0.15501753300405577,0.9474266639064157
CCCCCCOC(=O)C,2.8557107194685623,0.0058626132131181265,0.9903510495848344,0.6416517250576315,0.19870637516002826,157.90459394341008,1054.8140222061288,1139.4358691065963,0.13858137893027642,0.9257335588646886
CCCCCCCCC=O,2.845629913568655,0.003841937280754244,0.9769011621721365,0.4919029428398066,0.30512627791562796,233.30068485465154,978.5764383966898,1091.763247616556,0.21369164547714314,0.8963265987685828
CCCCCC(=O)C=C,2.5452872664117203,0.007135907736166187,0.9838412018560887,0.5633747808171274,0.3031124011357996,136.1372162902168,738.6606730072518,760.3593403119432,0.17904326161675801,0.9714626149054875
CC1=CC[C@H](CC1=O)C(=C)C,2.431911877837472,0.0038862946566759304,0.9621185998795752,0.3935833534689538,0.35932194472403745,225.44500220680933,724.504873292007,826.9228133299316,0.2726312523643723,0.8761457074506165
CC(=CCC/C(=C/CO)/C)C,3.0710557936084877,0.005482869160513617,0.9926321067078482,0.6808506466572236,0.1762971208895865,171.16972074972466,1325.7955013016303,1412.6732338310283,0.12116724282057043,0.9385011831123931
CCC/C=C/C=O,2.4279780130999105,0.020514622394828354,0.9965155603079152,0.7715479579313186,0.19777693694825896,47.0919504968386,545.448886272421,564.6038731189795,0.08340706243599372,0.9660735822785933
COC1=CC=CC=C1O,2.0531559881512145,0.003187673373656684,0.9258947993388085,0.2922667727577152,0.043140640023888496,197.09642050756165,327.7861995687352,521.7207537848843,0.3777814454911034,0.6282790116949954
CCCCCCCO,2.3391867142813814,0.009648884923950883,0.984703427140159,0.5751213677466778,0.3752361408248951,102.450650901858,581.2482939202549,587.9898676782296,0.17423880330863606,0.9885345409358925
CCCCCCC=O,2.348374276596327,0.006296194119048905,0.975549315644618,0.48023662155002383,0.23375907834782858,134.10328016021668,515.1900462834835,610.1687389709437,0.2197806468852917,0.8443402838899241
COC(=O)C1=CC=CC=C1O,2.3732230761490944,0.003185932578950289,0.9629739926180294,0.40838273941944936,0.03154858996786617,230.5500100938941,628.1395767883378,855.173886899618,0.26959430546896074,0.7345167882354552
C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,2.3965845680752165,0.002908670193650903,0.9432098900042506,0.30959855609804415,0.3318570641709853,278.4007931446107,678.6396124317497,838.0583493722203,0.33219738620008676,0.8097760889084998
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],2.6463961732451633,0.0022715447051576605,0.9650890882501607,0.4171763715578404,0.04754725185469324,331.588595191991,953.5615707347001,1265.9829804029248,0.26192184280902114,0.753218317699034
CSSC,1.6128137374873615,0.01615688624275893,0.9654342928562215,0.41764041968027016,0.22515261232037828,58.08565366802464,209.14305213684446,222.85218334473137,0.26064655412494475,0.938483298650567
CSSCC1=CC=CO1,2.349238060667064,0.0041669504789522945,0.968216499176097,0.4286957111045464,0.1551512904103282,208.71576545561894,725.7575283001787,834.4838869029134,0.250113595638428,0.8697082588301861
CCCCCO,1.9833742783384407,0.014700846129618667,0.9771691522423903,0.5042466217024496,0.4209741450744805,67.03801919987046,310.95800904024065,315.52824474179806,0.21246281534868225,0.9855156050917175
CCC=O,1.3819613119394887,0.02630210694172552,0.9609098940806632,0.38934049349337996,0.3467690884006647,29.80433249474302,84.38924397045274,107.65077411854747,0.27686129281264443,0.7839167406034757
C1=CN=CC=N1,1.4269852046813751,0.006628699630848827,0.876980055336321,0.251137619347241,5.536505040210494e-12,78.36728964012595,84.71891812002126,163.08620775996846,0.48052677609296995,0.519473223908126
CC(C)CCOC(=O)C,2.242437720150821,0.0048647053726711105,0.9515145410234497,0.3440986511195951,0.4146706047613194,183.1745874628642,530.6343199758206,595.4887631090241,0.3076037682164087,0.8910903997674097
CCC(=O)O,1.5540199297786206,0.01595979342227027,0.9616926504518748,0.3956176318091567,0.2605649424473182,48.054731202741955,134.44449853444394,175.2990722157475,0.2741299802408486,0.766943582958487
C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34CO,3.32236731987982,0.0012932061028212251,0.9703774085660145,0.44967960673596963,0.3848387382421961,735.5498294346199,2896.0476925645794,3044.5693085324624,0.24159404989507968,0.9512175283539618
CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,2.8565011000676104,0.0019651199140273265,0.9609491664022537,0.3871853531272969,0.24081430237650603,415.04764791123023,1223.3103452968317,1499.8562416268796,0.27672495296017974,0.8156183981805607
CC1=CCCC(C1/C=C/C(=O)C)(C)C,2.7598164301409573,0.0019110110722013111,0.951271350717749,0.3413055725081779,0.29876322119835547,425.70162159033316,1123.1112865003959,1380.5568138742074,0.30835501828838313,0.8135205123131795
CC(=O)[O-],1.2684380682629928,0.014166464540080734,0.8952086475610024,0.23979754525154687,0.3323935178835468,41.60621978405859,55.02838400963435,93.36132819422564,0.44564725661895543,0.5894130372176715
CC(=O)C(C)=O,1.6707926409567402,0.006888411855105051,0.9208797787281374,0.27518569948694727,0.17488617499560083,92.45477462587506,151.03721016512745,237.15675829876506,0.38984667900293396,0.6368665655939435
CCCCCC=O,2.3665684033775696,0.012784198821607133,0.9912899570426587,0.6565222048248648,0.2722136315930382,72.00005770828358,503.224532535486,546.7080193437736,0.13169746036413904,0.9204630529098845
CC1OC(=O)C(=C1C)O,1.99049777270568,0.0025466411538625877,0.8791851664902458,0.210835230738296,0.2391161061922525,233.5612493515471,291.5576322837486,490.1803211214689,0.47648026509344416,0.5947966895462115
COC1=C(C=CC(=C1)C=O)O,2.391649113116974,0.0020072432383957273,0.9306436344189101,0.30237603729213536,0.035466645811659765,317.8409436727058,554.1476097398879,868.5915882635851,0.3659268037675872,0.637984085072356
CC(=O)C1=NCCC1,1.9968268822951107,0.006976811976685611,0.965591767309607,0.41559444157418524,0.22409472124321791,112.6570792556081,340.48356111348124,433.1922138232165,0.2600625672870078,0.7859872598089467
CC(C)C=O,1.5878102236383886,0.012429396056546497,0.9351499452355594,0.28625722113041246,0.458186050408951,60.97951566908619,130.46844418775575,172.13591248854897,0.35425214173795805,0.7579385515874553
CCCC(=O)OCC,2.189621921996484,0.009000972993453713,0.9806322474992782,0.5264659495361541,0.28619380728067206,102.83300633882722,485.9739474110689,525.038313800432,0.1958580995632144,0.9255971128914383
C/C=C/C(=O)C1=C(C)C=CCC1(C)C,2.672654015343108,0.0017025258708715156,0.9413742515698853,0.30861067311811,0.21636201870752664,439.6685055222067,975.5411687235361,1303.2463717973606,0.3373640740820493,0.7485470052589728
CCC1=NC=C(N=C1C)C,2.274197492628748,0.0033188456872316084,0.9507008635932455,0.35150057349084546,0.11600770358339721,215.65809935756508,497.7412254927196,695.425768997223,0.31010944513680544,0.7157359529694206
CC/C=C/CC\C=C\C=O,3.3242463604852945,0.009834921559375315,0.997765000516159,0.8140310704547703,0.17162102514903377,99.69641537290752,1462.914934110912,1491.9993351346907,0.06682068351183776,0.9805064249434448
